name,Vis_ST
204890128,K2V
205084841,K0V
205145448,G5V
205686202,K1V
206096602,K3V
206135267,K2V
206144956,K2V
210414957,G2V
210577548,K2V
210609658,K2V
210731500,K1V
210754505,G5V
210793570,K5V
211058748,K2V
211133138,K2V
211418290,G4V
211529065,K4V
211579683,K4V
211619879,K3V
211779390,K5V
211783206,K5V
211797637,K5V
211913977,K3V
211970147,K3V
212012119,K3V
212132195,K6V
212138198,K3V
212311834,G8V
212315941,K3V
212521166,K2V
212572439,K2V
212730483,K3V
212737443,K4V
212757039,K1V
212779596,K5V
214173069,K3V
216111905,G8V
217192839,K2V
219114906,K2V