epic_name,pl_orbper,pl_ratror,st_rad
EPIC 201155177,6.68796,3.04,0.64
EPIC 201205469,3.47114,6.6,0.57
EPIC 201208431,10.0044,3.49,0.43
EPIC 201295312,5.65688,1.56,1.58
EPIC 201338508,10.9324,3.24,0.46
EPIC 201338508,5.73597,2.97,0.46
EPIC 201345483,1.7292684,13.76,0.45
EPIC 201367065,10.05443,3.51,0.37
EPIC 201367065,44.5609,2.35,0.37
EPIC 201367065,24.6435,2.88,0.37
EPIC 201384232,30.9349,2.2,1.01
EPIC 201393098,28.6777,1.77,2.13
EPIC 201403446,19.1541,1.45,1.29
EPIC 201445392,5.06408,2.79,0.8
EPIC 201505350,11.90724,4.44,1.01
EPIC 201505350,2.50858,1.1,1.01
EPIC 201505350,7.91952,7.446,1.01
EPIC 201546283,6.771315,4.74,1.03
EPIC 201549860,5.60906,2.55,0.6
EPIC 201549860,2.39991,1.64,0.6
EPIC 201577035,19.3037,3.67,1.08
EPIC 201596316,39.8478,2.66,0.83
EPIC 201613023,8.28176,1.87,1.31
EPIC 201635569,8.36926,10.66,0.39
EPIC 201637175,1.143201,7.1,0.38
EPIC 201647718,31.6372,2.29,0.76
EPIC 201677835,20.5065,2.8,0.73
EPIC 201690311,2.77065,3.83,0.45
EPIC 201713348,5.34072,3.23,0.75
EPIC 201713348,1.422647,1.76,0.75
EPIC 201736247,11.8097,3.3,0.78
EPIC 201754305,19.077,2.99,0.67
EPIC 201754305,7.61856,2.68,0.67
EPIC 201833600,8.7529,2.64,0.55
EPIC 201855371,17.9654,2.9,0.48
EPIC 201912552,32.9418,5.17,0.4
EPIC 202083828,14.5662,4.59,0.51
EPIC 202900527,13.0106,8.53,1.37
EPIC 203771098,20.88526,4.264,1.51
EPIC 203771098,42.36301,5.913,1.51
EPIC 203776696,3.53482,6.81,1.49
EPIC 203826436,6.42973,2.76,0.87
EPIC 203826436,4.44118,1.74,0.87
EPIC 203826436,14.0919,2.71,0.87
EPIC 204129699,1.2578542,35,0.9
EPIC 204221263,10.56098,1.95,1.12
EPIC 204221263,4.01628,1.329,1.12
EPIC 204890128,12.2054,2.67,0.85
EPIC 205071984,20.6602,3.26,0.92
EPIC 205071984,8.99213,5.56,0.92
EPIC 205071984,31.7154,3.71,0.92
EPIC 205916793,9.7843,2.72,0.38
EPIC 205924614,2.849258,5.52,0.63
EPIC 206011691,9.32389,2.46,0.46
EPIC 206011691,15.50116,3.02,0.46
EPIC 206026136,9.0063,3.08,0.62
EPIC 206026904,7.05254,2.8,0.86
EPIC 206026904,22.8827,1.8,0.86
EPIC 206026904,2.53726,1.69,0.86
EPIC 206027655,11.2954,2.86,0.73
EPIC 206027655,20.6921,2.99,0.73
EPIC 206038483,3.002627,6.191,1.47
EPIC 206044803,2.57302,1.66,1.36
EPIC 206096602,16.1966,2.69,0.73
EPIC 206096602,6.67202,2.71,0.73
EPIC 206101302,20.257,1.8,1.63
EPIC 206103150,4.159221,10.214,1.1
EPIC 206103150,0.789518,1.344,1.1
EPIC 206103150,9.03164,2.6,1.1
EPIC 206125618,6.53044,2.59,0.73
EPIC 206144956,12.6475,1.73,0.84
EPIC 206153219,5.06965,1.324,1.71
EPIC 206155547,24.38724,14.27,1.12
EPIC 206159027,8.05428,2.11,0.68
EPIC 206162305,7.06599,4.28,0.49
EPIC 206181769,13.97896,2.81,0.93
EPIC 206192813,6.98541,4.57,0.43
EPIC 206209135,7.7599,2.86,0.23
EPIC 206209135,15.1871,3.34,0.23
EPIC 206209135,5.57739,2.95,0.23
EPIC 206209135,24.1669,3.2,0.23
EPIC 206245553,7.49543,2.1,1.06
EPIC 206247743,4.60497,2.52,2.59
EPIC 206268299,19.5666,2.15,0.98
EPIC 206348688,7.8142,1.56,1.56
EPIC 206348688,18.311,1.62,1.56
EPIC 206432863,23.9726,7.93,1.28
EPIC 210363145,8.20075,2.7,0.83
EPIC 210400751,2.29016,1.45,0.88
EPIC 210402237,10.99573,2.61,1.28
EPIC 210403955,5.605,1.54,0.87
EPIC 210403955,19.0918,2.1,0.87
EPIC 210448987,6.10224,2.61,0.63
EPIC 210483889,7.195834,13.98,0.17
EPIC 210508766,2.74697,2.68,0.42
EPIC 210508766,9.99767,3.19,0.42
EPIC 210577548,6.4215,2.34,0.93
EPIC 210577548,27.86,1.98,0.93
EPIC 210707130,0.684533,1.79,0.51
EPIC 210718708,8.77683,2.34,0.76
EPIC 210731500,9.72739,4.41,0.93
EPIC 210750726,4.6122,4.36,0.26
EPIC 210838726,1.096026,1.76,0.32
EPIC 210957318,4.098506,12.33,0.92
EPIC 210968143,2.90032,1.88,0.49
EPIC 210968143,13.7311,3.72,0.49
EPIC 211077024,1.419549,3.52,0.28
EPIC 211089792,3.258768,12.29,0.85
EPIC 211152484,0.701818,1.68,1.38
EPIC 201176672,79.9999,18,0.51
EPIC 201247497,2.75391,7.9,0.44
EPIC 201445392,10.3535,3.77,0.8
EPIC 201465501,18.4474,11,0.47
EPIC 201512465,2.33293,12,0.22
EPIC 201565013,8.63829,14.08,0.44
EPIC 201617985,7.28138,41,0.4
EPIC 201626686,5.28081,3.28,3.01
EPIC 201629650,40.0603,2.26,1.09
EPIC 201702477,40.7302,7.19,0.98
EPIC 201717274,3.52743,3.89,0.26
EPIC 201828749,33.5107,2.173,0.9
EPIC 201862715,2.6556817,11.478,0.88
EPIC 201920032,28.2692,2.36,1.29
EPIC 202066537,6.90487,34,1.45
EPIC 202071289,3.04622,30,0.89
EPIC 202071401,3.2367,1.96,0.74
EPIC 202088212,2.62077,40,1.4
EPIC 202126852,2.790963,8.41,1.88
EPIC 202565282,11.97495,76,3.4
EPIC 202675839,15.4715,4.4,1.89
EPIC 203294831,1.859017,28.3,2.03
EPIC 203929178,1.153886,53,1.8
EPIC 204489514,10.2236,61,2.04
EPIC 205029914,4.98205,2.06,1.01
EPIC 205084841,11.31009,11.9,10
EPIC 205145448,16.63311,18.61,2.19
EPIC 205570849,16.858,4.7,1.07
EPIC 205686202,13.15628,7.82,0.38
EPIC 205703094,8.1191,45,1.2
EPIC 205703094,16.235,8.6,1.2
EPIC 205944181,2.475527,38,1.06
EPIC 205947161,17.72507,31,1.33
EPIC 205999468,12.2631,2.38,0.72
EPIC 206011496,2.369193,1.636,0.91
EPIC 206024342,14.637,2.49,1.5
EPIC 206028176,9.3826,1.58,1.38
EPIC 206036749,1.131316,3.13,1.32
EPIC 206061524,5.87975,8.73,0.39
EPIC 206101302,25.4556,2.19,1.63
EPIC 206114294,3.291897,7.77,0.4
EPIC 206135267,2.573088,12.35,2.5
EPIC 206154641,2.4841905,10.31,1.39
EPIC 206192335,3.59912,1.63,0.82
EPIC 206403979,23.8039,21,0.48
EPIC 206543223,17.81188,21.2,0.93
EPIC 207389002,2.931226,75,1.12
EPIC 207739861,1.81449,27,0.92
EPIC 208445756,22.4844,65,1.15
EPIC 208833261,3.47451,5.36,1.83
EPIC 209036259,0.369181,7.05,2.22
EPIC 209286622,6.71694,44,0.82
EPIC 210389383,14.08549,14.602,1.32
EPIC 210414957,0.969967,35,1.54
EPIC 210558622,19.564,3.49,0.67
EPIC 210609658,14.14459,5.71,2.69
EPIC 210625740,2.38669,11,0.29
EPIC 210659688,2.35771,10.4,0.27
EPIC 210666756,1.396291,1.67,1.02
EPIC 210754505,0.870673,11,1.74
EPIC 210903662,2.410271,10.1,1.51
EPIC 210958990,1.702301,13.69,1.28
EPIC 211147528,2.349455,8.07,1.81
